gid,pid,seas,week,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,off,def,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,pts,blk,brcv,fgxp,fkicker,NumKicks,dist,good,ptsv,ptsh,iced,detail,surface,elapsedtime
2244,364134,2008,9,SUN,GB,TEN,LP Field,69,38,0,CALM,Sunny,Grass,40.5,4.5,TEN,GB,11,5,1,9,47,0,0,3,3,4,7,87,3,,,FG,RB-2200,283,31,Y,16,19,0,"(9:47) (Field Goal formation) R.Bironas 31 yard field goal is GOOD, Center-K.Amato, Holder-C.Hentrich.",Grass,9.783333333
2244,364156,2008,9,SUN,GB,TEN,LP Field,69,38,0,CALM,Sunny,Grass,40.5,4.5,TEN,GB,12,4,2,14,11,3,0,3,2,4,2,93,3,,,FG,RB-2200,283,25,Y,16,19,0,"(14:11) (Field Goal formation) R.Bironas 25 yard field goal is GOOD, Center-K.Amato, Holder-C.Hentrich.",Grass,29.18333333
2244,364164,2008,9,SUN,GB,TEN,LP Field,69,38,0,CALM,Sunny,Grass,40.5,4.5,GB,TEN,7,4,2,11,27,0,6,2,3,4,5,95,3,,,FG,MC-3000,248,23,Y,16,19,0,"(11:27) (Field Goal formation) M.Crosby 23 yard field goal is GOOD, Center-B.Goode, Holder-D.Frost.",Grass,26.45
2244,364228,2008,9,SUN,GB,TEN,LP Field,69,38,0,CALM,Sunny,Grass,40.5,4.5,TEN,GB,7,5,3,4,16,13,10,3,3,4,4,96,3,,,FG,RB-2200,283,22,Y,16,19,0,"(4:16) (Field Goal formation) R.Bironas 22 yard field goal is GOOD, Center-K.Amato, Holder-C.Hentrich.",Grass,34.26666667
2244,364237,2008,9,SUN,GB,TEN,LP Field,69,38,0,CALM,Sunny,Grass,40.5,4.5,GB,TEN,8,4,3,0,15,10,16,3,3,4,4,94,3,,,FG,MC-3000,248,25,Y,16,19,0,"(:15) (Field Goal formation) M.Crosby 25 yard field goal is GOOD, Center-B.Goode, Holder-D.Frost.",Grass,30.25
2244,364261,2008,9,SUN,GB,TEN,LP Field,69,38,0,CALM,Sunny,Grass,40.5,4.5,GB,TEN,7,5,4,5,35,13,16,3,3,4,4,81,3,,,FG,MC-3000,248,38,Y,16,19,0,"(5:35) (Field Goal formation) M.Crosby 38 yard field goal is GOOD, Center-B.Goode, Holder-D.Frost.",Grass,50.58333333
2244,364283,2008,9,SUN,GB,TEN,LP Field,69,38,0,CALM,Sunny,Grass,40.5,4.5,TEN,GB,9,3,4,0,4,16,16,1,1,1,10,71,,,,FG,RB-2200,283,47,N,16,19,1,"(:04) (Field Goal formation) R.Bironas 47 yard field goal is No Good, Wide Left, Center-K.Amato, Holder-C.Hentrich.",Grass,45.06666667
2244,364294,2008,9,SUN,GB,TEN,LP Field,69,38,0,CALM,Sunny,Grass,40.5,4.5,TEN,GB,10,3,5,9,41,16,16,3,2,3,2,77,3,,,FG,RB-2200,283,41,Y,16,19,1,"(9:41) (Field Goal formation) R.Bironas 41 yard field goal is GOOD, Center-K.Amato, Holder-C.Hentrich.",Grass,60
2245,364302,2008,9,SUN,MIA,DEN,Invesco Field at Mile High,77,14,11,S,Partly Cloudy,Grass,50,3.5,MIA,DEN,4,6,1,11,40,0,0,3,3,4,3,73,3,,,FG,DC-0500,192,45,Y,26,17,0,"(11:40) D.Carpenter 45 yard field goal is GOOD, Center-J.Denney, Holder-B.Fields.",Grass,11.66666667
2245,364318,2008,9,SUN,MIA,DEN,Invesco Field at Mile High,77,14,11,S,Partly Cloudy,Grass,50,3.5,MIA,DEN,10,5,1,6,1,3,0,2,3,4,9,71,3,,,FG,DC-0500,192,47,Y,26,17,0,"(6:01) D.Carpenter 47 yard field goal is GOOD, Center-J.Denney, Holder-B.Fields.",Grass,6.016666667
2245,364375,2008,9,SUN,MIA,DEN,Invesco Field at Mile High,77,14,11,S,Partly Cloudy,Grass,50,3.5,MIA,DEN,14,5,2,0,7,13,7,1,3,4,5,95,3,,,FG,DC-0500,192,23,Y,26,17,0,"(:07) D.Carpenter 23 yard field goal is GOOD, Center-J.Denney, Holder-B.Fields.",Grass,15.11666667
