gid,pid,seas,week,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,off,def,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,pts,blk,brcv,fgxp,fkicker,NumKicks,dist,good,ptsv,ptsh,iced,detail,surface,elapsedtime
2230,361996,2008,8,SUN,ARI,CAR,Bank of America Stadium,70,80,0,N,Sunny,Grass,43,3.5,CAR,ARI,5,4,4,9,13,24,23,2,2,4,1,68,3,,,FG,JK-0200,322,50,Y,23,27,0,"(9:13) J.Kasay 50 yard field goal is GOOD, Center-J.Kyle, Holder-J.Baker.",Grass,54.21666667
2231,362030,2008,8,SUN,WAS,DET,Ford Field,68,,,,Dome,FieldTurf,42,-7.5,WAS,DET,11,4,1,8,16,0,0,3,2,4,7,93,3,,,FG,SS-3100,233,25,Y,25,17,0,"(8:16) S.Suisham 25 yard field goal is GOOD, Center-E.Albright, Holder-R.Plackemeier.",Turf,8.266666667
2231,362063,2008,8,SUN,WAS,DET,Ford Field,68,,,,Dome,FieldTurf,42,-7.5,DET,WAS,8,4,2,10,32,7,3,2,3,4,7,76,3,,,FG,JH-0900,360,43,Y,25,17,0,"(10:32) J.Hanson 43 yard field goal is GOOD, Center-D.Muhlbach, Holder-N.Harris.",Turf,25.53333333
2231,362079,2008,8,SUN,WAS,DET,Ford Field,68,,,,Dome,FieldTurf,42,-7.5,WAS,DET,14,5,2,3,29,3,10,3,2,4,16,67,,,,FG,SS-3100,233,50,N,25,17,0,"(3:29) S.Suisham 50 yard field goal is No Good, Wide Right, Center-E.Albright, Holder-R.Plackemeier.",Turf,18.48333333
2231,362094,2008,8,SUN,WAS,DET,Ford Field,68,,,,Dome,FieldTurf,42,-7.5,WAS,DET,8,3,2,0,4,3,10,0,1,1,10,71,3,,,FG,SS-3100,233,47,Y,25,17,0,"(:04) S.Suisham 47 yard field goal is GOOD, Center-E.Albright, Holder-R.Plackemeier.",Turf,15.06666667
2231,362106,2008,8,SUN,WAS,DET,Ford Field,68,,,,Dome,FieldTurf,42,-7.5,WAS,DET,6,5,3,11,7,6,10,3,3,4,5,73,3,,,FG,SS-3100,233,45,Y,25,17,0,"(11:07) S.Suisham 45 yard field goal is GOOD, Center-E.Albright, Holder-R.Plackemeier.",Turf,41.11666667
2231,362164,2008,8,SUN,WAS,DET,Ford Field,68,,,,Dome,FieldTurf,42,-7.5,WAS,DET,10,4,4,2,0,22,17,2,0,4,21,76,3,,,FG,SS-3100,233,42,Y,25,17,0,"(2:00) S.Suisham 42 yard field goal is GOOD, Center-E.Albright, Holder-R.Plackemeier.",Turf,47
2232,362239,2008,8,SUN,CLE,JAC,Jacksonville Municipal Stadium,72,39,12,NW,Clear,Grass,42.5,7,CLE,JAC,5,4,2,2,13,14,7,3,2,4,4,86,3,,,FG,PD-0200,395,32,Y,23,17,1,"(2:13) P.Dawson 32 yard field goal is GOOD, Center-R.Pontbriand, Holder-D.Zastudil.",Grass,17.21666667
2232,362284,2008,8,SUN,CLE,JAC,Jacksonville Municipal Stadium,72,39,12,NW,Clear,Grass,42.5,7,JAC,CLE,13,8,4,12,57,14,17,3,3,4,3,80,,SR-1000,SR-1000,FG,JS-1100,271,38,N,23,17,0,"(12:57) J.Scobee 38 yard field goal is BLOCKED (S.Rogers), Center-J.Zelenka, Holder-A.Podlesh, RECOVERED by CLE-S.Rogers at CLE 41. S.Rogers to CLE 41 for no gain (A.Podlesh).",Grass,57.95
2232,362296,2008,8,SUN,CLE,JAC,Jacksonville Municipal Stadium,72,39,12,NW,Clear,Grass,42.5,7,JAC,CLE,7,5,4,8,53,14,17,3,3,4,6,65,3,,,FG,JS-1100,271,53,Y,23,17,0,"(8:53) J.Scobee 53 yard field goal is GOOD, Center-J.Zelenka, Holder-A.Podlesh.",Grass,53.88333333
